ID,Name,Type,Longitude ,Latitude ,Evacuation_Centers
128, ,parking,79.8615882,6.9184962,
129,Arpico,supermarket,79.8609627,6.9175097,
130,Kohuwala Junction,traffic_signals,79.8846379,6.8670603,
131,Taj Samudra,hotel,79.8463141,6.9223979,
132,Ingurukade Junction,traffic_signals,79.8742076,6.9510438,
133,level_crossing,level_crossing,79.9208038,6.679084,
134,Tangerine Beach Hotel,hotel,79.948918,6.6085878,
135,level_crossing,level_crossing,79.9504094,6.6077133,
136,Devon Waterfalls,attraction,80.6301897,6.9524973,
137,level_crossing,level_crossing,80.0885193,6.1694874,
138,Thelwatta Temple,place_of_worship,80.0911801,6.1704654,Yes
139,level_crossing,level_crossing,80.1002132,6.1405631,
